"mztime"	"VK_180504_097"	"VK_180504_103"	"VK_180504_121"	"VK_180504_127"	"VK_180504_145"	"VK_180504_151"	"VK_180504_181"	"VK_180504_187"	"VK_180504_205"	"VK_180504_211"
"mztime"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"
"93.98399922/289.932458"	"598700.5544"	"56897812"	"56897812"	"1407138.238"	"1085878.145"	"56897812"	"1449574.278"	"1173720.964"	"1051770.395"	"1099855.64"
"94.03930953/128.0406586"	"7511200.24"	"77351529.04"	"96118328.59"	"7781805.406"	"10768649.26"	"89341080.39"	"12644814.07"	"17061547.96"	"13690707.27"	"13816980.19"
"94.06504507/109.1510822"	"1242626.15"	"56897812"	"56897812"	"106258.9593"	"1069593.209"	"56897812"	"2573611.727"	"1617239.587"	"1608219.137"	"1952090.973"
"94.06505239/230.9769656"	"2737413.87"	"56897812"	"56897812"	"3163232.924"	"1777034.188"	"56897812"	"3473168.165"	"2745832.2"	"56897812"	"56897812"
"94.54356767/128.5275891"	"34604289.34"	"441313845.6"	"56897812"	"37851225.54"	"53898628.34"	"433242111.1"	"64663300.04"	"85191388.3"	"69106304.1"	"62926348.27"
"95.0126531/247.8967946"	"1120064.015"	"56897812"	"56897812"	"920233.7979"	"535354.8682"	"56897812"	"1130268.07"	"1079455.497"	"1174962.837"	"757697.9695"
"95.02391874/104.1024886"	"2035036.653"	"1140276.919"	"2407756.298"	"2094932.404"	"3051167.69"	"3156864.717"	"2528708.085"	"3160316.298"	"1799806.249"	"3379175.362"
"95.06029775/12.9186292"	"745280.5748"	"56897812"	"56897812"	"649805.9396"	"584525.319"	"56897812"	"574402.8364"	"600813.3407"	"536184.8424"	"587005.1427"
"95.08543005/111.1471653"	"3553965.638"	"3771011.094"	"2962996.694"	"2565518.315"	"3827602.05"	"3119042.925"	"3387493.194"	"3800540.574"	"3211596.336"	"3882598.798"
"96.04429672/250.5155205"	"431721.2011"	"2511288.64"	"8927767.963"	"15900168.74"	"7789549.661"	"2879579.246"	"12087914.13"	"2109738.889"	"13474564.35"	"1858860.03"
"96.06882315/289.9472296"	"3199399.881"	"1625475.285"	"3430848.745"	"3395568.855"	"2662772.843"	"1464668.241"	"2695032.476"	"2160244.286"	"2058899.577"	"2903261.627"
"97.02833079/91.25537785"	"1377120.068"	"17779.47184"	"1742753.441"	"829535.7723"	"1964601.182"	"12168.06396"	"525397.2347"	"13031.34393"	"10538.76332"	"239351.3785"
"97.02834662/246.9216238"	"357903.3347"	"16396.27183"	"66357.70319"	"625375.0638"	"512216.9904"	"15141.55475"	"250782.2184"	"1167901.883"	"953530.8821"	"861618.1955"
"97.03950102/118.6909547"	"894021.9885"	"1296136.27"	"2109146.706"	"846647.9241"	"179861.3018"	"1426614.268"	"2236689.257"	"2114174.272"	"1045301.944"	"2449447.534"
"97.06471634/100.2946447"	"1477066.443"	"1610523.11"	"2366618.644"	"2550720.968"	"1965274.428"	"2920417.554"	"1690846.04"	"2009677.529"	"2690770.577"	"3064653.131"
"97.15764331/42.11110212"	"56897812"	"56897812"	"56897812"	"204181.2394"	"56897812"	"56897812"	"56897812"	"154717.2103"	"504223.9693"	"130361.9909"
"97.95541266/296.0475338"	"518580.3975"	"56897812"	"56897812"	"835691.6449"	"194006.3806"	"56897812"	"56897812"	"825634.7319"	"968615.9419"	"288473.1848"
"97.97629621/105.1623585"	"3521703.338"	"5436062.342"	"3650150.244"	"3746556.601"	"3846896.371"	"5823145.345"	"2704838.136"	"4270942.762"	"3641944.056"	"3951679.153"
"98.05995377/257.9560771"	"3169619.716"	"3897309.811"	"4015446.595"	"4971742.831"	"4934933.765"	"3418842.875"	"1882792.334"	"3866676.983"	"4310688.351"	"2527454.319"
