mz,time,DW_140904_013.cdf,DW_140904_019.cdf,DW_140904_025.cdf,DW_140904_031.cdf,DW_140904_037.cdf,DW_140904_043.cdf,DW_140904_049.cdf,DW_140904_055.cdf,DW_140904_061.cdf,DW_140904_067.cdf,DW_140904_073.cdf,DW_140904_079.cdf,DW_140904_085.cdf,DW_140904_091.cdf,DW_140904_097.cdf,DW_140904_103.cdf,DW_140904_109.cdf,DW_140904_115.cdf,DW_140904_121.cdf,DW_140904_127.cdf,DW_140904_133.cdf,DW_140904_139.cdf,DW_140904_145.cdf,DW_140904_151.cdf,DW_140904_157.cdf,DW_140904_163.cdf,DW_140904_169.cdf,DW_140904_175.cdf,DW_140904_181.cdf,DW_140904_187.cdf,DW_140904_193.cdf,DW_140904_199.cdf,DW_140904_205.cdf,DW_140904_211.cdf
,,control,control,control,PD,PD,control,PD,PD,PD,control,PD,control,PD,PD,control,control,PD,PD,control,PD,PD,PD,control,PD,PD,PD,control,control,PD,control,PD,PD,PD,PD
101.9516784,123.1432588,2555700.333,2139389,1560083.667,1121408,2094669,1997633.333,12677356.67,2191572,1978086,2650925,983218,2496114.333,775251.5,865639,767112.5,1118460.667,855099.6667,935498.6667,1322441.333,1246911,850427.6667,13295549,10033061.33,6645646,13580621.5,3306078,15860263,4388488.333,4474503,4582326.667,2881955,3667467.667,2064042.333,4211507.667
101.9845697,124.2118024,9213542,5574773.333,5601228.333,5766068.667,6845261.667,6512155.667,33792751.67,7311875.333,5980838.333,4741646.5,4568668.667,6849983,3956986.667,4039056.333,2893042.5,3873090.333,2706178,4252707.667,3368342.333,2988576,2893224,35497559,24563630,46028230,40715537.5,21153811.5,48996937,12034761,10806845.33,12115703.67,7313671,8433679,5581737.333,8754731.667
101.9846445,196.100121,325277,1457719,325277,325277,2471932,325277,325277,325277,2063422,2252948,3151597,325277,325277,3983131,650554,2695163,325277,2554549,325277,325277,325277,325277,325277,325277,1589549,325277,1678277,325277,325277,4291378,2045711,325277,325277,325277
102.0066824,123.8234916,16903931.67,8837642,9592984.667,6850976.333,10016237,8175639.333,46481917.33,8803674.667,8375697.667,6442547,5580913.667,9882805.667,4400002.333,5610580.333,6446510.667,5050640.333,5270463.333,5278739.333,5730437,4817499.333,4254780.667,52933969.67,39746626,30897632.5,74530334.67,24964150,61000310.67,18854487,15807485,17172969,11467828,13083067.33,9286703,14741001.67
102.0267874,196.7152201,1644090.25,1644090.25,1644090.25,1644090.25,7231548,6986687,1644090.25,7736689,6652682,3440114,1644090.25,7705058,5450631,1644090.25,1644090.25,1644090.25,7047846,5667405,5104277,1644090.25,3288180.5,1644090.25,1644090.25,1644090.25,1644090.25,1644090.25,1644090.25,1644090.25,1644090.25,1644090.25,5068288,1644090.25,5641912,1644090.25
102.0267987,476.976482,28116236,28063432,26990145,29936601.67,26968045.5,29030918,3307025.5,3307025.5,25688007,29909276,33101859,3307025.5,25691838,3307025.5,33558171,3307025.5,21825900,33406058,30189403,35585089,27333503,3307025.5,3307025.5,3307025.5,3307025.5,6614051,3307025.5,32642078.5,35935432,31573792,37415914,3307025.5,34253827.5,3307025.5
102.0342659,123.0982002,1252757632,3336119111,4734828321,4128581981,4817991736,4554298809,19979593836,4760636850,4343515379,3514706198,3187338228,4951640438,2582569305,3212355376,3234054501,2920635897,2505515264,2963429180,3278061090,2716820791,2521945861,21148688425,16250841191,6552805960,24703159915,10298280380,26048195701,8317603579,7833967052,8175704861,5737080748,6306534413,4654821012,7064045989
102.03428,482.6117125,147065620.5,365065682,147065620.5,727077710,612433834,717560481,2951000760,2942517386,574682272,147065620.5,147065620.5,952500851,461868330,453386794.5,837006361,841730139,147065620.5,555753159,294131241,147065620.5,1003146585,147065620.5,147065620.5,147065620.5,147065620.5,147065620.5,147065620.5,3200086557,733685252,862617213,1040497179,1224227056,431864550,147065620.5
102.0343451,190.5434144,166725702,166725702,559395623,633549532,525082818,547881753.5,166725702,570789137.3,529420013,557743751.5,588569714.5,526022412.5,567101157,588112065,582712705,484898459,501092244,558279956.5,560429246.7,479645599.3,166725702,166725702,166725702,166725702,166725702,166725702,166725702,482862778.3,166725702,493991371,468055663,166725702,333451404,423568916
102.0416064,123.2402716,82793191.33,45258889.67,50553003,44707408.67,55029844.33,50672167.67,218462851.3,50757474.67,49207749.5,38650835,35612110.33,58716919.33,28180957.67,34958295.33,34920884.33,31736125,24454544,32602317.33,36044507.33,31493462.67,27519916.67,227748163,192336551,169362800,283592456.3,113666482,302720956.7,96420377.33,88671006.67,106361745,64846631.33,71681972.67,52963187.67,79212545.33
102.0416444,479.9370185,2153788,2153788,2153788,2153788,6607759,4307576,24979697,26521005.5,25446516.67,26144732,10055457,27224711,2153788,7528096,5028010,9654937,5839361,9752536,11959528,7080413.5,2153788,24699646,2153788,2153788,2153788,2153788,2153788,2153788,28103206,23243356.5,10961068.5,29468299.5,21638293,11962468
102.0417679,197.089925,2337978.5,2337978.5,2337978.5,2337978.5,2337978.5,2337978.5,2337978.5,2337978.5,2337978.5,9300097.5,2337978.5,6630334.5,2337978.5,6373292.5,6267878,2337978.5,4675957,5948197,2337978.5,6687098,8780327.5,2337978.5,2337978.5,2337978.5,2337978.5,163109884,2337978.5,8727750,2337978.5,2337978.5,7671791.5,2337978.5,2337978.5,2337978.5
102.0456214,488.6344725,6964264.667,6866664.333,7178643,6544234.5,7960969,7308361,8396541,8770665.5,7304719,8216009.5,8235674,2608181.5,7878691,9300513,5831320,7989934,6643349,2608181.5,2608181.5,7156435,5216363,2608181.5,2608181.5,2608181.5,8859593,5744607.5,8873747,8442450.333,10845566,26128055.5,2608181.5,9073665.5,5825218.5,2608181.5
102.0550197,154.2720101,39131096.33,29027751.67,27402648.67,29663367.67,32307909.67,25651354,87060381.33,31674407.33,26850053.33,25012647,24059176.67,27923073,22883527,25479678.33,27473774,24336183.33,21580450.67,23442778.67,27486577.67,30251591.67,27274236.67,126897520.7,77924902,299994185,424419641.3,196686353.7,118471627.3,39992069.67,45255309.67,44230656.67,29826961.67,39269201,26925986.33,44417673.33
102.0553737,125.247096,2583665.75,2583665.75,2583665.75,5167331.5,6957997.5,2583665.75,16385948,2583665.75,2583665.75,10083770.5,8321477.333,10199478,6253767,7060693,7828948,2583665.75,2583665.75,8519432,2583665.75,2583665.75,2583665.75,14424426,15319150,2583665.75,29498168,2583665.75,2583665.75,7234330,5758373,6131862,2583665.75,5766610,2583665.75,2583665.75
102.0554204,125.376156,1373699.5,9070542,1373699.5,1373699.5,1373699.5,1373699.5,11847245.5,2747399,8398757,1373699.5,8220972.667,1373699.5,5927457,6870670.333,8043265,1373699.5,1373699.5,8571743,1373699.5,1373699.5,1373699.5,13750761,15972538,20040892,29837725,1373699.5,13155009,5597301,1373699.5,8459461,1373699.5,5969475,1373699.5,7070141.333
102.0554337,82.72644333,12232173,8835074.667,1402562.5,1402562.5,8556881.667,4502368,1402562.5,1402562.5,1402562.5,6484570,5948548.333,1402562.5,3448323.667,3889163,7805688,1402562.5,10864263,6256264.667,11023190,11269538,2805125,1402562.5,25409143,1402562.5,1402562.5,1402562.5,1402562.5,6190844,7512476,1402562.5,12918568,4082423.5,1402562.5,5339327
102.0618043,123.4536684,14490237,7631377.333,9524533,9198374,9964926.333,9701189,45694932,8651407.333,8841262,6971453,5913041,9888606.333,4486201.333,5651586.667,5635582.667,5068175,4426215.333,5423608,5863817.333,4760097.667,4441988.333,51327382,43381170.67,49641560.5,85320025.67,27933986,60420283.67,19464830.33,16274219.67,18176961.67,11921915.67,13161043.67,9408252.333,14785166.67
102.0666428,587.0478515,68117604,63665971,11934504.25,73723883,11934504.25,11934504.25,11934504.25,69346335,70417376.33,11934504.25,64603270.5,67827958.67,73014059,65220491.5,58918225,66797252,11934504.25,63330545,58726644,56767571.5,58899273,11934504.25,60914109,24098864.5,59192264,23869008.5,52319184,54611166,55488037,57443200.5,50935583.33,55776037,56112004.67,58233668
102.0666687,152.6464657,48916927.67,45787068,48825405,47042090.67,46601880,45265571,52828901,46134520.33,56854772,49439402.33,42231496.33,46158652.67,52740981.67,50273779.33,45284104.33,46935124.33,49574482.67,48663739.33,39390676.33,39744018.33,40006984,44919398.67,46006350,43403725,41854952.33,44618456.5,43177375,43728096.33,50172997.33,47325137.33,50504586.67,39956987.33,44826260.33,40080631
102.0666729,75.94536355,39495636.67,30332493,68353798,42642417.33,42274388.67,46494556.67,71257224.67,53885821.33,59470859.67,72126010,47058897,57893127,44631709,59865731.67,56565311.67,38728351.67,33826978,43513333.33,33034163.33,64603519,51290291,59114344.33,36869663.67,48639736.5,46404851.33,47978796.67,31854021.67,39089293.33,55460713.33,49997913,40368441.67,38143472.67,64716096.67,38503243.33
102.0667209,434.1748377,1752965.5,1752965.5,1752965.5,1752965.5,3505931,10017166,1752965.5,14741602.5,11621974.67,1752965.5,9246779.333,11231360,11680524,12259542.5,5776687,10073521.67,1752965.5,13006421,13247982.5,13124220,13007354,1752965.5,9202740.5,1752965.5,13395941,1752965.5,12013484.5,11048019.33,11277676,11858763.5,14096953,11769307,10580340.33,12164334.67
102.0917281,586.316614,3113410.5,12144217,3113410.5,3113410.5,13749073,13389292,13697377,3113410.5,3113410.5,10757422,3113410.5,13655804.5,12261101,11200886,14291563,3113410.5,3113410.5,3113410.5,3113410.5,10797951,8656298,15666520.5,14655547,15188862,6440019,6226821,12273715,11710617.5,3113410.5,9042335.5,14888534,3113410.5,3113410.5,3113410.5
102.0918166,157.5139206,51838326.67,70524139.67,54327394,58565235.33,55031951.33,55625085,50551557.5,49631340.5,13141837,44610118.33,13141837,46534984,64007601.5,50337811,45631028.5,55140218,13141837,50474799,63201124,69746244,47306382,41747776.5,71142718,13141837,51124485,35411080.5,38975298.33,61589693,13141837,79515801.5,13141837,57051402,26283674,13141837
102.0918431,426.1152983,2683006,21948500,2683006,11739223,2683006,8643388,2683006,2683006,2683006,2683006,2683006,7709470,6569003,26137858,8822132,2683006,13397567,2683006,8294477,2683006,2683006,14375861,2683006,2683006,15726814,2683006,5366012,2683006,2683006,147725160,2683006,2683006,7368129,2683006
102.0918708,546.7712203,87975010,86152608,75173573,36144513,82067942,74431140.5,52365228.33,71943046.67,49876219.67,73976529.67,52202497,13135306,49680178,32555494.33,40306775.5,75915973,79217777.5,19809825,64217522.33,85960343.5,83092757.33,85738424,89403831.5,78097332,39020337.67,73125191,77117572.5,87533511,77861771,43029392,77756909.33,73635612.67,72331429,67917238
102.091878,381.034353,2194518,91530999,2194518,2194518,2194518,79362103,8430787,87069016,14405674,97677497,2194518,5808784,4389036,129274282,12428872,70679625,108417296,116712228,10810563,2194518,121907453,9225304,125460802.5,2194518,2194518,73991075.33,2194518,2194518,2194518,2194518,2194518,2194518,2194518,4966232
102.128225,534.7087667,777123.5,777123.5,4578294,777123.5,777123.5,777123.5,777123.5,4700257,3435792,3256010,3268581.667,777123.5,777123.5,777123.5,2678348,777123.5,777123.5,2509021,2742773,1740776,777123.5,1554247,777123.5,777123.5,2244881,777123.5,777123.5,777123.5,4165128,2317999,2469102,777123.5,2251610.5,777123.5
102.1282289,193.1457296,4364359,4206818,3066544,4104440,2391829,1066369.75,2987802,5113653,5949184.5,6039769,2388729,3992539.5,6361103,5676364.5,4349720,6441523,5027073.333,5421591,1066369.75,1066369.75,1066369.75,1066369.75,1066369.75,1066369.75,2726900,1066369.75,1066369.75,4617909,3234929,2966730,2375757.5,1066369.75,4720694,2132739.5
102.5096495,560.1911316,4311930.5,4001316,5458124,1470782.25,5551321.667,4365895,1470782.25,4522809,4142069,1470782.25,5291153,4578452,5455901.5,5744499,5364952,1470782.25,1470782.25,5703337,4832903,4356071.5,4834951,1470782.25,1470782.25,1470782.25,1470782.25,1470782.25,1470782.25,3159121,2941564.5,3565401,3717215.5,3838069,4418714,1470782.25
102.5248522,124.4744227,229030.5,229030.5,229030.5,229030.5,229030.5,229030.5,8184609,229030.5,458061,229030.5,229030.5,229030.5,229030.5,229030.5,229030.5,229030.5,229030.5,229030.5,229030.5,1860246,229030.5,10316868.33,4933773.333,229030.5,7890726,229030.5,8720428.333,2731048,2778066.333,3547893,229030.5,4077619,1260338,1425677.333
102.52847,125.4817141,3768973.333,1640230.667,1614418.667,2795813.333,2185582.667,1843273,9745425.333,2806847,2283804.667,2306334.333,3019975,3811665.333,1832878.333,1823841,1685108.333,1856271.667,1893607.333,1885151.667,2155059,1337377.333,1936142.333,16541450.67,13221737.33,13253061,17664237,5583780,16105051.67,5506764,5414358.667,5041668.333,4399086,3964640.333,2582314.333,4675524.667
102.5328589,187.8951736,8263034,8263034,8263034,19725418,20180206,8263034,8263034,8263034,20572112,16832936,8263034,19111863,18376512,8263034,8263034,8263034,17475104,8263034,8263034,18833661.5,8263034,8263034,8263034,166482015,24511218,174700819,8263034,21526702,8263034,19434577,16526068,8263034,8263034,8263034
102.5328975,122.6901778,93743013.33,57266801,64164356,57720289,65750442,61774842.67,290466184.5,66153271,58937308.67,47359715.33,45048328.67,68266346.33,36407226,43780765.33,44017546,41494730.67,35785079,42022115,44685701,38813799,36856386,298079177,223149473.5,159434199.3,343691759.5,134741719.3,342758235.3,108493102,101719677.3,107568378.7,75458877.33,84526471.33,64980631.33,94293437
102.5329153,480.1298821,12728826.84,25457653.67,27710894.33,34408416.5,32643454,38740889,30967496.5,38237756,32979578,12728826.84,12728826.84,12728826.84,28042927,12728826.84,12728826.84,27102622,36415906,12728826.84,12728826.84,35667914,12728826.84,12728826.84,12728826.84,12728826.84,12728826.84,12728826.84,34490392,35152652.5,43856644,43358678,12728826.84,12728826.84,12728826.84,12728826.84
102.5329382,477.3653262,10300886,6113037,9262939,3056518.5,11466103,6371357.5,3056518.5,19045853.5,10073701,9088769,9545875,3056518.5,7493943,6699347.5,10727124,7426208,11011980,7382239,9626196,8138447.5,9415324,3056518.5,3056518.5,3056518.5,7577965,3056518.5,3056518.5,9469898,8806905.5,8772634,3056518.5,3056518.5,10885365,3056518.5
102.5359618,122.9365658,614947092.3,338980531,385907766,341917144,395881883,369899044.3,1674207005,388890946,356670375.7,282906290.7,259023002.3,410413664,208333691.3,249577181.7,254743862.3,232843084.7,194845260,239951511.3,262620185.3,220767258,204224592.3,1784389237,1358163775,1092961342,2057568501,1155149831,2193508895,686946586,648875904,680731503,477741653.7,518631208.7,389203076.7,582630969.7
102.5360075,192.8711418,37767298.5,49210086,46576285,15207121.5,15207121.5,45399578.5,15207121.5,15207121.5,43429034.5,37444486,43695205,44221643,32779364,15207121.5,15207121.5,15207121.5,42414211,42753348,43444705.5,35361207.5,36615082,15207121.5,15207121.5,15207121.5,15207121.5,15207121.5,15207121.5,38612530,15207121.5,15207121.5,15207121.5,30414243,33886056,15207121.5
102.5360165,193.0780739,46837945,49539262,46170848,50190819.5,17166489.25,44395085,40478714,45296198.33,44848564.67,43174651,41642214,41394242.67,45648274,39733338.5,38249573,42120336.5,38198714.67,41092133.5,40369696.67,39234956,38506372.33,17166489.25,17166489.25,17166489.25,17166489.25,17166489.25,17166489.25,43741381,17166489.25,39629316,36324629,39308358,34332978.5,17166489.25
102.5360262,482.5484492,61995237,50399826.67,34839067,54181886.67,233854166,12843918,12843918,12843918,12843918,12843918,12843918,12843918,26224794,25687836,35315183,12843918,32576069,12843918,38315211.67,30688974,12843918,12843918,12843918,12843918,12843918,12843918,12843918,156183182,12843918,12843918,12843918,12843918,37527311,12843918
102.54347,124.4249688,4576344,2273435.333,2102344.333,2217156.667,2118034,2630230.667,13265833.33,2997288.667,2630645,2367055,2689436,3572908.333,1129357,1465603.333,1424571,1450861.333,1509156.333,1787500.667,1655394.667,1232600,1040955.333,12018243.33,11590630,5638785,16954298,5004806,15498536.33,5798671.333,5029853,5583428.333,3899854,4135781.667,3101049.333,4285586.333
102.97068,313.376622,4967766,4516374,4689213,4551407,645982,4354769,2909730.333,3464687,2496129.5,1890745.5,5317255.333,5170812.667,4211469,2405591.5,4960433,4895589,4591124,3886123.5,4310574.5,3649747,4309994.5,5395949,4027554,322991,322991,322991,4836329,4635129,2427132,3812846.5,5029060.5,2487072.5,5211943.5,4128219
