"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"180.0653554","C01252","M-CO+H[1+]","0.000121066770020661"
"117.0545381","C00141","M+H[1+]","3.83667699992429e-05"
"117.0545381","C00279","M-HCOOK+H[1+]","3.83667699992429e-05"
"117.0545381","C00322","M-CO2+H[1+]","0.000138366770002563"
"117.0545381","C00379","M-H4O2+H[1+]","3.83667699992429e-05"
"117.0545381","C00474","M-H4O2+H[1+]","3.83667699992429e-05"
"117.0545381","C00478","M-HCOOH+H[1+]","0.000138366769974141"
"117.0545381","C00532","M-H4O2+H[1+]","3.83667699992429e-05"
"117.0545381","C00581","M[1+]","0.000738100000006625"
"117.0545381","C00846","M-CO2+H[1+]","0.000138366770002563"
"117.0545381","C00922","M-CO+H[1+]","3.83667699992429e-05"
"117.0545381","C01088","M-HCOOH+H[1+]","0.000138366769974141"
"205.1220894","C01192","M+2H[2+]","0.000962933229970986"
"163.06024","C00329","M-NH3+H[1+]","6.35332299907532e-05"
"163.06024","C00478","M+H[1+]","0.000163533229994073"
"163.06024","C01088","M+H[1+]","0.000163533229994073"
"163.06024","C01214","M-NH3+H[1+]","6.35332299907532e-05"
"163.06024","C00031","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00095","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00124","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00137","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00159","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00221","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00247","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00267","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00725","M-CO2+H[1+]","0.000736466770007382"
"163.06024","C00737","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00738","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00764","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00795","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00922","M+H2O+H[1+]","6.35332299623315e-05"
"163.06024","C00936","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00944","M-CO+H[1+]","0.000263533229997392"
"163.06024","C00962","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C00984","M-H2O+H[1+]","0.000163533229994073"
"163.06024","C01251","M-CO2+H[1+]","6.35332299907532e-05"
"345.0468893","C00364","M+Na[1+]","0.00101283322999279"
"345.0468893","C00786","M+NaCl[1+]","0.0030871667700012"
"345.0468893","C00942","M[1+]","0.000510700000006636"
"120.0443026","C00108","M-H2O+H[1+]","7.38667699948792e-05"
"120.0443026","C00568","M-H2O+H[1+]","7.38667699948792e-05"
"120.0443026","C00971","M-HCOOH+H[1+]","0.000173866769983988"
"120.0443026","C01004","M-H2O+H[1+]","7.38667699948792e-05"
"718.8341738","C01204","M+NaCl[1+]","0.00689733322997199"
"117.077076","C01036","M-HCOOK+H[1+]","0.00100046677000876"
"117.077076","C01061","M-HCOOK+H[1+]","0.00100046677000876"
"142.1225448","C00729","M+H[1+]","0.000131666770016636"
"142.1225448","C01092","M-HCOOH+H[1+]","0.000131666770016636"
"99.0552321","C00178","M-CO+H[1+]","5.56332300050144e-05"
"99.0552321","C00396","M+H2O+H[1+]","4.43667699983052e-05"
"146.1650932","C00315","M+H[1+]","8.32667700194634e-05"
"158.083277","C01365","M-HCOOH+H[1+]","0.000699466769987112"
"263.0020474","C00044","M(C13)+2H[2+]","0.0022790667700292"
"830.6526856","C00348","M-NH3+H[1+]","0.00640913323013592"
"159.0650159","C00234","M(C13)+3H[3+]","0.00137276656332119"
"278.1074582","C01425","M(C13)+H[1+]","0.000981733229991733"
"160.0602626","C00651","M+H[1+]","0.000213866770025106"
"160.0602626","C00248","M-HCOOH+H[1+]","0.00111386677002656"
"160.0602626","C01215","M-CO+H[1+]","0.000113866770021787"
"160.0602626","C01300","M-H4O2+H[1+]","0.00141386677003652"
"153.0578982","C00121","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00181","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00216","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00259","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00309","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00310","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00312","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00476","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C00508","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C01394","M(Cl37)+H[1+]","0.000621733230019572"
"153.0578982","C01275","M-HCOONa+H[1+]","0.00082173322999779"
"133.1051604","C00123","M(C13)+H[1+]","0.000116066770033285"
"133.1051604","C00407","M(C13)+H[1+]","0.000116066770033285"
"284.0002164","C01285","M-H4O2+H[1+]","0.00256006677000187"
"322.1849774","C01341","M-H4O2+H[1+]","0.00229906676997871"
"280.0959401","C00051","M-CO+H[1+]","0.000136366769993401"
"181.0527597","C00198","M(Cl37)+H[1+]","0.000583233230003088"
"181.0527597","C00204","M(Cl37)+H[1+]","0.000583233230003088"
"181.0527597","C00273","M(Cl37)+H[1+]","0.000583233230003088"
"181.0527597","C00691","M(Cl37)+H[1+]","0.000583233230003088"
"181.0527597","C01040","M(Cl37)+H[1+]","0.000583233230003088"
"181.0527597","C01115","M(Cl37)+H[1+]","0.000583233230003088"
"181.0527597","C01216","M(Cl37)+H[1+]","0.000583233230003088"
"150.0582053","C00025","M(Cl37)+H[1+]","0.000528833229992642"
"150.0582053","C00073","M+H[1+]","7.11667699988539e-05"
"150.0582053","C00217","M(Cl37)+H[1+]","0.000528833229992642"
